"peak","time","overall","prevalence","theta_vir_beta","theta_vir_lambda","theta_vir_eta","sim"
0.000342788571645991,83.37,0.846531291985533,0,0.8,0.8,0.8,1
0.000342265533778696,83.42,0.845941446771935,0.01,0.8,0.8,0.8,1
0.000341727171948691,83.47,0.845333308425102,0.02,0.8,0.8,0.8,1
0.000341172832605097,83.52,0.844706092436772,0.03,0.8,0.8,0.8,1
0.000340601914422978,83.58,0.844058972759827,0.04,0.8,0.8,0.8,1
0.000340013674838546,83.63,0.843391079288475,0.05,0.8,0.8,0.8,1
0.000339407441878214,83.69,0.842701495175605,0.06,0.8,0.8,0.8,1
0.000338782392343751,83.75,0.84198925397797,0.07,0.8,0.8,0.8,1
0.000338137739203936,83.81,0.841253336618608,0.08,0.8,0.8,0.8,1
0.00033747260829714,83.87,0.840492668156357,0.09,0.8,0.8,0.8,1
0.000336786210696383,83.94,0.839706114351795,0.1,0.8,0.8,0.8,1
0.000336077463706397,84.01,0.838892478018918,0.11,0.8,0.8,0.8,1
0.000335345471948634,84.07,0.83805049515224,0.12,0.8,0.8,0.8,1
0.000334589207246105,84.15,0.837178830818722,0.13,0.8,0.8,0.8,1
0.000333807545940923,84.22,0.83627607480498,0.14,0.8,0.8,0.8,1
0.000332999246420662,84.3,0.835340737010921,0.15,0.8,0.8,0.8,1
0.000332163188104806,84.37,0.834371242581575,0.16,0.8,0.8,0.8,1
0.000331298066817365,84.46,0.833365926636607,0.17,0.8,0.8,0.8,1
0.000330402537229268,84.54,0.832323029405026,0.18,0.8,0.8,0.8,1
0.00032947508079656,84.63,0.83124068977345,0.19,0.8,0.8,0.8,1
0.000328514243598477,84.7,0.830116939797176,0.2,0.8,0.8,0.8,1
0.000327518458528908,84.81,0.828949698353102,0.21,0.8,0.8,0.8,1
0.000326485975671642,84.91,0.827736764573432,0.22,0.8,0.8,0.8,1
0.000325415053507361,85.01,0.826475811772845,0.23,0.8,0.8,0.8,1
0.000324303778161728,85.11,0.825164379731664,0.24,0.8,0.8,0.8,1
0.000323150242702075,85.22,0.823799868860808,0.25,0.8,0.8,0.8,1
